name,market,funding_total_usd,status,country_code,region,funding_rounds,founded_at,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,first_fund_year,years_between
99times.cn, E-Commerce ,0.0,fail,CHN,Shanghai,0,2005-01-01,2005,2010-08-23,2010-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,5
9car Technology LLC, Automotive ,80000.0,fail,CHN,Beijing,0,2009-11-18,2009,2009-11-18,2010-01-06,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,0
9DIAMOND, E-Commerce ,9600000.0,success,CHN,Shanghai,1,2005-03-01,2005,2005-01-01,2008-01-01,0.0,9600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9600000.0,0.0,0.0,0.0,2005,0
9tong.com, Mobile ,0.0,success,CHN,Shanghai,0,2011-09-01,2011,2011-07-15,2012-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,0
9You, Games ,100000000.0,success,CHN,Shanghai,0,2008-03-20,2008,2008-03-20,2008-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,0
A-Gas, Clean Technology ,115837966.0,success,GBR,Bristol,0,2011-04-21,2011,2011-04-21,2011-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115837966.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,0
A-Power Energy Generation Systems, Clean Technology ,10200000.0,success,CHN,Shenyang,0,2003-01-01,2003,2011-01-19,2011-01-19,0.0,10200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,8
A8 Digital Music, Music ,50000000.0,success,CHN,Shenzhen,2,2000-01-01,2000,2004-10-01,2005-12-08,0.0,50000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000000.0,20000000.0,0.0,0.0,2004,4
AA Carpooling Website, Curated Web ,1623640.0,success,CHN,CHN - Other,1,2013-03-01,2013,2013-03-01,2013-10-01,0.0,1623640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1623640.0,0.0,0.0,0.0,2013,0
AA Party, Mobile ,16474.0,success,CHN,Beijing,0,2014-02-01,2014,2014-02-01,2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,16474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,0
Abacus e-Media, Software ,3409315.0,success,GBR,London,0,1977-01-01,1977,2013-08-01,2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3409315.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,36
